rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
kingdom	19	0.013465357034920642	1.8252193611401548	0.1982214700000001	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.7444581214607195	0.6776349847344735	0.09911786107862229	0.013497026808531746	7.076906767218603	0.19821203000000004	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7453545748245145	0.4159903087581483	0.09910845455460887
kingdom	2	0.013465357034920642	1.8252193611401548	0.03460730999999997	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.7427292916224613	0.5357659328733488	0.017304106031523697	0.013497026808531746	7.076906767218603	0.03460933999999996	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7427567673778379	0.41454044481642416	0.01730510349284248
kingdom	3	0.013465357034920642	1.8252193611401548	0.01723348999999988	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.6139790683415953	0.5588678323323198	0.008617545613075121	0.013497026808531746	7.076906767218603	0.01719844999999988	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.6151443622371179	0.34331860542762527	0.008599469439918768
kingdom	4	0.013465357034920642	1.8252193611401548	0.033010290000000005	0.5	1.0	0.6666666666666666	3.0	0.0	3.0	3.0	0.5	0.6927409886143374	0.6305600217290253	0.0165065781836508	0.013497026808531746	7.076906767218603	0.03294649000000001	0.8333333333333334	0.8333333333333334	0.8333333333333334	5.0	1.0	1.0	6.0	0.7142857142857143	0.6939179581943539	0.38728298642301306	0.016473668785129503
kingdom	5	0.013465357034920642	1.8252193611401548	0.018927649999999897	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.4320237476475341	0.39324496194311936	0.009464481030502578	0.013497026808531746	7.076906767218603	0.018910379999999897	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.43280273032518746	0.24155180299488088	0.009455463735675096
kingdom	0	0.013465357034920642	1.8252193611401548	0.027100050000000053	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.7522895728709794	0.6847634790095141	0.01355063294914729	0.013497026808531746	7.076906767218603	0.027079940000000052	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.7526775209971763	0.42007732283477367	0.013540334505804923
kingdom	8	0.013465357034920642	1.8252193611401548	0.01865648999999993	0.5	1.0	0.6666666666666666	3.0	0.0	3.0	3.0	0.5	0.6871363570273519	0.6254584662077591	0.009328924752102027	0.013497026808531746	7.076906767218603	0.01860499999999993	0.8333333333333334	0.8333333333333334	0.8333333333333334	5.0	1.0	1.0	6.0	0.7142857142857143	0.6880482063361616	0.384007015535737	0.009302738243126373
kingdom	7	0.013465357034920642	1.8252193611401548	0.013931019999999952	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.503853363045597	0.45862709551195535	0.006966201395488479	0.013497026808531746	7.076906767218603	0.01385040999999995	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.5051942671231829	0.2819542889542178	0.006925368127046208
kingdom	6	0.013465357034920642	1.8252193611401548	0.01877891999999988	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.6430146277975909	0.5852971375162228	0.009389982552528988	0.013497026808531746	7.076906767218603	0.01875276999999988	0.8	0.6666666666666666	0.7272727272727272	4.0	2.0	1.0	6.0	0.5714285714285714	0.6435370051847152	0.3591648411725547	0.009376663721329058
phylum	19	0.013465357034920642	1.8252193611401548	0.22746573000000006	0.7272727272727273	1.0	0.8421052631578948	8.0	0.0	3.0	8.0	0.7272727272727273	1.0891121822022862	0.5237522480783319	0.11375363698288128	0.013497026808531746	7.076906767218603	0.22735832000000003	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	1.092508368569049	0.3534433399263328	0.11367916682075004
phylum	11	0.013465357034920642	1.8252193611401548	0.07562337000000009	0.6363636363636364	1.0	0.7777777777777778	7.0	0.0	4.0	7.0	0.6363636363636364	0.9315182565495128	0.4787056879279548	0.037826509776579136	0.013497026808531746	7.076906767218603	0.0750117200000001	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	0.9375291555676809	0.30330516960357057	0.03750588137835244
phylum	9	0.013465357034920642	1.8252193611401548	0.05979893000000004	0.7272727272727273	1.0	0.8421052631578948	8.0	0.0	3.0	8.0	0.7272727272727273	0.9880058186925673	0.4751303649990691	0.029901455091343628	0.013497026808531746	7.076906767218603	0.059870590000000036	0.9090909090909091	0.47619047619047616	0.6249999999999999	10.0	11.0	1.0	21.0	0.45454545454545453	0.9893585661587436	0.32496346681502797	0.02993534753653495
phylum	8	0.013465357034920642	1.8252193611401548	0.027820319999999885	0.5833333333333334	1.0	0.7368421052631579	7.0	0.0	5.0	7.0	0.5833333333333334	0.8639344849630032	0.44397449973855163	0.013911975373666452	0.013497026808531746	7.076906767218603	0.027805219999999884	0.9166666666666666	0.4782608695652174	0.6285714285714286	11.0	12.0	1.0	23.0	0.4583333333333333	0.8665425359078731	0.27636553481923365	0.013902638778462212
phylum	7	0.013465357034920642	1.8252193611401548	0.019242930000000106	0.5454545454545454	1.0	0.7058823529411764	6.0	0.0	5.0	6.0	0.5454545454545454	0.5941350121410459	0.33159306388207205	0.009623578000903821	0.013497026808531746	7.076906767218603	0.019037190000000107	0.9090909090909091	0.5	0.6451612903225806	10.0	10.0	1.0	20.0	0.47619047619047616	0.5981962520800209	0.19968281456952428	0.009518595428336846
phylum	6	0.013465357034920642	1.8252193611401548	0.022688789999999952	0.8181818181818182	1.0	0.9	9.0	0.0	2.0	9.0	0.8181818181818182	0.9389709885736078	0.42734411323213883	0.011345179802812836	0.013497026808531746	7.076906767218603	0.022750009999999952	0.9090909090909091	0.45454545454545453	0.6060606060606061	10.0	12.0	1.0	22.0	0.43478260869565216	0.9403944518088266	0.30423213721543	0.011375000051874954
phylum	5	0.013465357034920642	1.8252193611401548	0.021611959999999996	0.6363636363636364	1.0	0.7777777777777778	7.0	0.0	4.0	7.0	0.6363636363636364	0.5994360099247715	0.30804917185707753	0.010808895375260613	0.013497026808531746	7.076906767218603	0.02133743	0.9090909090909091	0.5	0.6451612903225806	10.0	10.0	1.0	20.0	0.47619047619047616	0.604193509261094	0.20168474819824547	0.010668715586779356
phylum	4	0.013465357034920642	1.8252193611401548	0.048922750000000105	0.6666666666666666	1.0	0.8	8.0	0.0	4.0	8.0	0.6666666666666666	0.9626942279076709	0.46295806283160884	0.024465284430125564	0.013497026808531746	7.076906767218603	0.0488918500000001	0.9166666666666666	0.5	0.6470588235294118	11.0	11.0	1.0	22.0	0.4782608695652174	0.9658422399146797	0.3124648899161265	0.024445950790478132
phylum	3	0.013465357034920642	1.8252193611401548	0.019598219999999972	0.7272727272727273	1.0	0.8421052631578948	8.0	0.0	3.0	8.0	0.7272727272727273	0.9404010109326845	0.4522372916398506	0.009800338374411835	0.013497026808531746	7.076906767218603	0.019620879999999973	0.9090909090909091	0.47619047619047616	0.6249999999999999	10.0	11.0	1.0	21.0	0.45454545454545453	0.9428397142702997	0.3096839433955097	0.009810430876299271
