tool	rank	metric	sample	value
Gold standard	strain	Sum of abundances	2	1.000049
Gold standard	cellular root	Taxon counts	2	1.0
Gold standard	domain	Taxon counts	2	2.0
Gold standard	kingdom	Taxon counts	2	5.0
Gold standard	phylum	Taxon counts	2	11.0
Gold standard	class	Taxon counts	2	18.0
Gold standard	order	Taxon counts	2	30.0
Gold standard	family	Taxon counts	2	45.0
Gold standard	genus	Taxon counts	2	86.0
Gold standard	species	Taxon counts	2	127.0
Gold standard	strain	Taxon counts	2	180.0
Gold standard	cellular root	Bray-Curtis distance	3	0.0
Gold standard	domain	Bray-Curtis distance	3	0.0
Gold standard	kingdom	Bray-Curtis distance	3	0.0
Gold standard	phylum	Bray-Curtis distance	3	0.0
Gold standard	class	Bray-Curtis distance	3	0.0
Gold standard	order	Bray-Curtis distance	3	0.0
Gold standard	family	Bray-Curtis distance	3	0.0
Gold standard	genus	Bray-Curtis distance	3	0.0
Gold standard	species	Bray-Curtis distance	3	0.0
Gold standard	strain	Bray-Curtis distance	3	0.0
Gold standard	cellular root	Shannon diversity	3	0.0
Gold standard	cellular root	Shannon equitability	3	0.0
Gold standard	domain	Shannon diversity	3	0.098039113279732
Gold standard	domain	Shannon equitability	3	0.14144054254182067
Gold standard	kingdom	Shannon diversity	3	0.5962409529818251
Gold standard	kingdom	Shannon equitability	3	0.3704653335027229
Gold standard	phylum	Shannon diversity	3	0.9235692823738452
Gold standard	phylum	Shannon equitability	3	0.3851583064743397
Gold standard	class	Shannon diversity	3	1.1968993581577305
Gold standard	class	Shannon equitability	3	0.4140987590568371
Gold standard	order	Shannon diversity	3	1.7550424109866238
Gold standard	order	Shannon equitability	3	0.526691085624377
Gold standard	family	Shannon diversity	3	1.9177577476886916
Gold standard	family	Shannon equitability	3	0.4953908986603955
Gold standard	genus	Shannon diversity	3	2.596877113605263
Gold standard	genus	Shannon equitability	3	0.5876829114458972
Gold standard	species	Shannon diversity	3	2.863497360833674
Gold standard	species	Shannon equitability	3	0.5930636484350705
Gold standard	strain	Shannon diversity	3	2.962131244116162
Gold standard	strain	Shannon equitability	3	0.569805316094388
Gold standard	cellular root	True positives	3	1.0
Gold standard	cellular root	False negatives	3	0.0
Gold standard	cellular root	False positives	3	0.0
Gold standard	cellular root	Completeness	3	1.0
Gold standard	cellular root	Purity	3	1.0
Gold standard	cellular root	F1 score	3	1.0
Gold standard	cellular root	Jaccard index	3	1.0
Gold standard	domain	True positives	3	2.0
Gold standard	domain	False negatives	3	0.0
Gold standard	domain	False positives	3	0.0
Gold standard	domain	Completeness	3	1.0
Gold standard	domain	Purity	3	1.0
Gold standard	domain	F1 score	3	1.0
Gold standard	domain	Jaccard index	3	1.0
Gold standard	kingdom	True positives	3	5.0
Gold standard	kingdom	False negatives	3	0.0
Gold standard	kingdom	False positives	3	0.0
Gold standard	kingdom	Completeness	3	1.0
Gold standard	kingdom	Purity	3	1.0
Gold standard	kingdom	F1 score	3	1.0
Gold standard	kingdom	Jaccard index	3	1.0
Gold standard	phylum	True positives	3	11.0
Gold standard	phylum	False negatives	3	0.0
Gold standard	phylum	False positives	3	0.0
Gold standard	phylum	Completeness	3	1.0
Gold standard	phylum	Purity	3	1.0
Gold standard	phylum	F1 score	3	1.0
Gold standard	phylum	Jaccard index	3	1.0
Gold standard	class	True positives	3	18.0
Gold standard	class	False negatives	3	0.0
Gold standard	class	False positives	3	0.0
Gold standard	class	Completeness	3	1.0
Gold standard	class	Purity	3	1.0
Gold standard	class	F1 score	3	1.0
Gold standard	class	Jaccard index	3	1.0
Gold standard	order	True positives	3	28.0
Gold standard	order	False negatives	3	0.0
Gold standard	order	False positives	3	0.0
Gold standard	order	Completeness	3	1.0
Gold standard	order	Purity	3	1.0
Gold standard	order	F1 score	3	1.0
Gold standard	order	Jaccard index	3	1.0
Gold standard	family	True positives	3	48.0
Gold standard	family	False negatives	3	0.0
Gold standard	family	False positives	3	0.0
Gold standard	family	Completeness	3	1.0
Gold standard	family	Purity	3	1.0
Gold standard	family	F1 score	3	1.0
Gold standard	family	Jaccard index	3	1.0
Gold standard	genus	True positives	3	83.0
Gold standard	genus	False negatives	3	0.0
Gold standard	genus	False positives	3	0.0
Gold standard	genus	Completeness	3	1.0
Gold standard	genus	Purity	3	1.0
Gold standard	genus	F1 score	3	1.0
Gold standard	genus	Jaccard index	3	1.0
Gold standard	species	True positives	3	125.0
Gold standard	species	False negatives	3	0.0
Gold standard	species	False positives	3	0.0
Gold standard	species	Completeness	3	1.0
Gold standard	species	Purity	3	1.0
Gold standard	species	F1 score	3	1.0
Gold standard	species	Jaccard index	3	1.0
Gold standard	strain	True positives	3	181.0
Gold standard	strain	False negatives	3	0.0
